,Hourly energy generation in TWh ->,,,,,,,,,,,,,,,,Consumption ->,,,Storage input ->,,,,State of charge ->,,,,Cost ->,,
hour,offshore_f,offshore_g,onshore,pv_g,pv_c,river,lake,biogas1,biogas2,ocgt,ccgt,nuc,h2_ccgt,phs,battery1,battery4,electrolysis,hydrogen,electricity_demand,ElecStr1,ElecStr4,Pump,hydrogen,ElecStr1,ElecStr4,Pump,hydrogen,elec_balance_dual_values,marginal_cost_of_ocgt,marginal_cost_of_ccgt
,floating offshore wind,ground-based offshore wind,onshore wind,pv grounded,pv commercial,run-of-river hydro,lake and reservoirs,biogas for ocgt,biogas for ccgt,open cycle gas-turbine,combined cycle gas turbine,nuclear,combined cycle gas turbine using hydrogen,pumped hydroelectric energy storage,1 hour battery,4 hours battery,electrolysis,hydrogen removed from storage,electricity_demand,battery1,battery4,phs,hydrogen,battery1,battery4,phs,hydrogen,,,
,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-se,GWh-th,GWh-th,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-th,GW,GW-e,GW-e,GW-e,GW-th,GWh-e,GWh-e,GWh-e,GWh-th,Euros/MWe,Euros/MWe,Euros/MWe
0,4.99,17.3,61.4,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,11.31,0.0,77.18,0.0,0.0,0.0,6.75,126.72,0.0,49.55,13694.75,67.79,200.98,67.79
1,5.16,17.6,63.35,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,9.18,22.47,0.0,73.64,0.0,0.0,0.0,17.91,126.72,0.0,49.55,13701.5,67.79,200.98,67.79
2,5.22,17.6,64.56,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,20.42,0.0,68.34,0.0,0.0,0.0,15.85,126.72,-0.0,39.88,13719.41,67.79,200.98,67.79
3,5.22,17.47,64.99,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,6.16,26.9,0.0,66.02,0.0,0.0,0.0,22.34,126.72,0.0,39.88,13735.26,67.79,200.98,67.79
4,5.16,17.04,64.65,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,23.4,0.0,63.55,0.0,0.0,0.0,18.84,126.72,0.0,33.4,13757.6,67.79,67.79,67.79
5,5.11,16.65,64.95,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,24.91,0.0,61.35,0.0,0.0,0.0,20.34,126.72,0.0,33.4,13776.44,67.79,67.79,67.79
6,5.09,16.41,65.15,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.07,0.0,59.67,0.0,0.0,0.0,21.5,126.72,0.0,33.4,13796.78,67.79,67.79,67.79
7,5.08,16.17,65.32,0.38,0.0,2.6,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,25.72,0.0,60.21,0.0,0.0,0.0,21.16,126.72,0.0,33.4,13818.28,67.79,67.79,67.79
8,5.03,16.12,64.62,5.75,0.0,2.6,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,62.73,0.0,0.0,0.48,22.34,126.72,0.0,33.4,13839.44,57.96,57.96,57.96
9,5.02,15.92,61.7,14.88,0.0,2.75,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,66.18,3.19,-0.0,0.0,22.34,126.72,0.0,33.82,13861.78,57.96,57.96,57.96
10,5.04,15.73,60.4,22.95,0.0,2.88,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,69.09,0.0,0.0,7.0,22.34,129.59,-0.0,33.82,13884.11,57.96,57.96,57.96
11,5.08,15.81,61.94,26.27,0.0,2.91,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,71.22,6.3,0.0,3.59,22.34,129.59,-0.0,40.12,13906.45,57.96,57.96,57.96
12,5.11,15.99,62.23,25.35,0.0,3.01,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,73.9,0.0,0.0,6.89,22.34,135.26,-0.0,43.35,13928.79,57.96,57.96,57.96
13,5.13,16.18,62.02,19.65,0.0,3.06,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,74.86,0.27,0.0,0.0,22.34,135.26,0.0,49.55,13951.13,57.96,57.96,57.96
14,5.14,16.37,61.35,11.61,0.0,2.8,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,20.46,0.0,74.96,0.0,0.0,0.0,15.9,135.5,0.0,49.55,13973.46,67.79,67.79,67.79
