,Generation ->,,,,,,,,,,,,,,,,Consumption ->,,,,Storage input ->,,,,State of charge ->,,,,Dual Value,Reserves ->
hour,offshore_f,offshore_g,onshore,pv_g,pv_c,river,lake,biogas1,biogas2,ocgt,ccgt,nuc,h2_ccgt,phs,battery1,battery4,electrolysis,hydrogen,SC,electricity_demand,pump,elecStr1,elecStr4,hydrogen,pump,elecStr1,elecStr4,hydrogen,elec balance,lake,phs,ocgt,ccgt,nuc,h2_ccgt,SC
,floating offshore wind,ground-based offshore wind,onshore wind,pv grounded,pv commercial,run-of-river hydro,lake and reservoirs,biogas for ocgt,biogas for ccgt,open cycle gas-turbine,combined cycle gas turbine,nuclear,combined cycle gas turbine using hydrogen,pumped hydroelectric energy storage,1 hour battery,4 hours battery,electrolysis,hydrogen removed from storage,synchronous condenser,electricity_demand,phs,battery1,battery4,hydrogen,phs,battery1,battery4,hydrogen,,lake and reservoirs,pumped hydroelectric energy storage,open cycle gas-turbine,combined cycle gas turbine,nuclear,combined cycle gas turbine using hydrogen,synchronous condenser
,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-th,GWh-th,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-th,GW,GWe,GWe,GWe,GWth,GWe,GWe,GWe,GWth,Euros/MWe
0,4.99,17.3,61.4,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,12.39,20.6,0.0,0.0,77.18,0.0,0.0,0.0,16.04,132.63,0.0,49.55,13732.85,67.79,0.0,7.2,1.18,0.0,0.0,0.0,0.0
1,5.16,17.6,63.35,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,7.46,21.18,0.0,0.0,73.64,0.0,0.0,0.0,16.61,132.63,0.0,36.51,13748.89,67.79,0.0,7.2,1.14,0.0,0.0,0.0,0.0
2,5.22,17.6,64.56,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,20.42,0.0,0.0,68.34,0.0,0.0,0.0,15.85,132.63,0.0,28.66,13765.5,67.79,0.0,7.2,1.09,0.0,0.0,0.0,0.0
3,5.22,17.47,64.99,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,22.28,0.0,0.0,66.02,0.0,0.0,0.0,17.71,132.63,0.0,28.66,13781.36,67.79,0.0,7.2,1.06,0.0,0.0,0.0,0.0
4,5.16,17.04,64.65,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,23.4,0.0,0.0,63.55,0.0,0.0,0.0,18.84,132.63,0.0,28.66,13799.07,67.79,0.0,7.2,1.03,0.0,0.0,0.0,0.0
5,5.11,16.65,64.95,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,24.91,0.0,0.0,61.35,0.0,0.0,0.0,20.34,132.63,0.0,28.66,13817.91,67.79,0.0,7.2,1.01,0.0,0.0,0.0,0.0
6,5.09,16.41,65.15,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,1.11,26.9,0.0,0.0,59.67,0.0,0.0,0.0,22.34,132.63,0.0,28.66,13838.25,67.79,0.0,7.2,0.99,0.0,0.0,0.0,0.0
7,5.08,16.17,65.32,0.38,0.0,2.6,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,25.72,0.0,0.0,60.21,0.0,0.0,0.0,21.16,132.63,0.0,27.49,13860.59,67.79,0.0,7.2,1.0,0.0,0.0,0.0,0.0
8,5.03,16.12,64.62,5.75,0.0,2.6,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,0.0,62.73,0.0,0.0,0.48,22.34,132.63,0.0,27.49,13881.75,57.96,0.0,7.2,1.02,0.0,0.0,0.0,0.0
9,5.02,15.92,61.7,14.88,0.0,2.75,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,0.0,66.18,3.19,0.0,0.0,22.34,132.63,0.0,27.92,13904.09,57.96,0.0,7.2,1.06,0.0,0.0,0.0,0.0
10,5.04,15.73,60.4,22.95,0.0,2.88,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,0.0,69.09,0.0,0.0,7.0,22.34,135.5,0.0,27.92,13926.42,57.96,0.0,7.2,1.09,0.0,0.0,0.0,0.0
11,5.08,15.81,61.94,26.27,0.0,2.91,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,0.0,71.22,0.0,0.0,9.88,22.34,135.5,0.0,34.21,13948.76,57.96,0.0,7.2,1.12,0.0,0.0,0.0,0.0
12,5.11,15.99,62.23,25.35,0.0,3.01,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,0.0,73.9,0.0,0.0,6.89,22.34,135.5,0.0,43.11,13971.1,57.96,0.0,7.2,1.15,0.0,0.0,0.0,0.0
13,5.13,16.18,62.02,19.65,0.0,3.06,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,0.0,74.86,0.0,0.0,0.27,22.34,135.5,0.0,49.31,13993.44,57.96,0.0,7.2,1.16,0.0,0.0,0.0,0.0
14,5.14,16.37,61.35,11.61,0.0,2.8,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,20.46,0.0,0.0,74.96,0.0,0.0,0.0,15.9,135.5,0.0,49.55,14015.78,67.79,0.0,7.2,1.16,0.0,0.0,0.0,0.0
15,5.16,16.58,62.64,3.33,0.0,2.69,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,16.35,0.0,0.0,73.55,0.0,0.0,0.0,11.78,135.5,0.0,49.55,14031.67,67.79,0.0,7.2,1.14,0.0,0.0,0.0,0.0
16,5.15,16.75,63.65,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,16.26,0.0,0.0,71.49,0.0,0.0,0.0,11.69,135.5,0.0,49.55,14043.46,67.79,0.0,7.2,1.12,0.0,0.0,0.0,0.0
